"name","Fluorophore","Antigen","Type","Detector","Negative","UV1-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","V1-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","B1-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","B10-A","B11-A","B12-A","B13-A","B14-A","YG1-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","YG10-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A"
"PBMC_Unstained","PBMC_Unstained","","Cells","","PBMC_Unstained",0.046,0.087,0.075,0.095,0.146,0.251,0.537,0.405,0.372,0.151,0.092,0.056,0.044,0.054,0.041,0.035,0.076,0.258,0.434,0.505,0.768,0.73,1,0.746,0.527,0.609,0.35,0.204,0.195,0.18,0.164,0.097,0.248,0.302,0.418,0.284,0.248,0.201,0.148,0.11,0.118,0.075,0.058,0.054,0.045,0.058,0.128,0.128,0.158,0.145,0.112,0.101,0.121,0.056,0.05,0.031,0.039,0.049,0.051,0.054,0.031,0.028,0.028,0.017
"PBMC_Monocyte_Unstained","PBMC_Monocyte_Unstained","","Cells","","PBMC_Monocyte_Unstained",0.064,0.132,0.111,0.131,0.181,0.301,0.578,0.418,0.381,0.15,0.089,0.052,0.042,0.049,0.036,0.029,0.089,0.3,0.485,0.532,0.769,0.728,1,0.757,0.536,0.609,0.341,0.191,0.176,0.155,0.136,0.076,0.253,0.305,0.425,0.302,0.262,0.218,0.163,0.118,0.123,0.076,0.057,0.05,0.04,0.048,0.146,0.141,0.18,0.162,0.12,0.106,0.126,0.056,0.047,0.028,0.038,0.045,0.047,0.045,0.031,0.024,0.025,0.015
"PBMC_Activated_Unstained","PBMC_Activated_Unstained","","Cells","","PBMC_Activated_Unstained",0.048,0.09,0.077,0.098,0.146,0.248,0.522,0.395,0.364,0.152,0.093,0.058,0.047,0.056,0.043,0.037,0.076,0.257,0.427,0.5,0.761,0.725,1,0.75,0.53,0.606,0.344,0.199,0.189,0.172,0.155,0.09,0.247,0.306,0.427,0.29,0.254,0.205,0.153,0.114,0.121,0.078,0.06,0.056,0.046,0.058,0.125,0.122,0.141,0.133,0.104,0.096,0.118,0.057,0.052,0.032,0.039,0.05,0.053,0.055,0.035,0.03,0.031,0.019
"PBMC_Dead_Unstained","PBMC_Dead_Unstained","","Cells","","PBMC_Dead_Unstained",0.037,0.069,0.064,0.081,0.12,0.2,0.431,0.34,0.329,0.151,0.103,0.066,0.055,0.066,0.051,0.042,0.072,0.235,0.385,0.454,0.715,0.702,1,0.8,0.579,0.675,0.4,0.232,0.219,0.198,0.175,0.1,0.302,0.371,0.514,0.352,0.309,0.255,0.198,0.148,0.157,0.1,0.077,0.071,0.058,0.07,0.138,0.144,0.153,0.157,0.126,0.118,0.148,0.072,0.065,0.04,0.05,0.065,0.067,0.069,0.047,0.039,0.039,0.023
"CBMC_Unstained","CBMC_Unstained","","Cells","","CBMC_Unstained",0.056,0.106,0.089,0.107,0.151,0.241,0.453,0.329,0.307,0.12,0.081,0.049,0.038,0.047,0.035,0.03,0.094,0.304,0.482,0.535,0.771,0.73,1,0.743,0.52,0.588,0.319,0.177,0.159,0.141,0.122,0.067,0.251,0.317,0.457,0.325,0.284,0.23,0.169,0.122,0.129,0.079,0.058,0.054,0.041,0.048,0.163,0.153,0.181,0.165,0.122,0.113,0.134,0.06,0.054,0.031,0.046,0.055,0.057,0.058,0.035,0.03,0.029,0.018
"CBMC_Dead_Unstained","CBMC_Dead_Unstained","","Cells","","CBMC_Dead_Unstained",0.056,0.104,0.084,0.102,0.142,0.219,0.424,0.321,0.307,0.129,0.098,0.063,0.048,0.06,0.043,0.038,0.086,0.276,0.436,0.491,0.732,0.714,1,0.786,0.56,0.641,0.363,0.207,0.186,0.166,0.143,0.078,0.302,0.377,0.54,0.382,0.336,0.276,0.207,0.152,0.163,0.099,0.073,0.068,0.051,0.06,0.175,0.166,0.174,0.173,0.133,0.128,0.155,0.072,0.066,0.038,0.059,0.073,0.076,0.079,0.047,0.04,0.037,0.024
"DTR_2023_ILT_01-Reference Group-DR_CCR4 BUV615 (Cells).1235678.fcs","BUV615","CCR4","Cells","UV10","PBMC_Unstained",0.01,0.044,0.039,0.038,0.041,0.057,0.08,0.052,0.268,1,0.406,0.223,0.128,0.12,0.076,0.041,0.019,0.067,0.123,0.13,0.164,0.144,0.186,0.153,0.196,0.38,0.158,0.086,0.062,0.046,0.04,0.017,0.022,0.031,0.05,0.047,0.071,0.101,0.056,0.044,0.04,0.021,0.015,0.014,0.012,0.011,0.102,0.432,0.894,0.43,0.326,0.253,0.223,0.085,0.059,0.026,0.011,0.012,0.009,0.005,0.01,0.004,0.005,0.002
"DTR_2023_ILT_01-Reference Group-DR_CCR6 BV786 (Cells).1235679.fcs","BV786","CCR6","Cells","V15","PBMC_Unstained",0.002,0.002,0.005,0.003,0.004,0.004,0.003,0.002,0.003,0.003,0.002,0.001,0.003,0.044,0.154,0.127,0.064,0.074,0.078,0.048,0.043,0.036,0.045,0.032,0.023,0.028,0.016,0.009,0.023,0.247,1,0.555,0.004,0.008,0.014,0.014,0.014,0.013,0.01,0.008,0.008,0.005,0.005,0.011,0.02,0.023,0.007,0.013,0.021,0.016,0.011,0.01,0.011,0.01,0.027,0.022,0.002,0.003,0.003,0.003,0.008,0.03,0.079,0.044
"DTR_2023_ILT_01-Reference Group-DR_CCR7 BV650 (Cells).1235680.fcs","BV650","CCR7","Cells","V11","PBMC_Unstained",0,0.001,0.004,0.003,0.004,0.004,0.005,0.006,0.009,0.039,0.166,0.081,0.058,0.048,0.029,0.019,0.065,0.074,0.075,0.041,0.03,0.027,0.039,0.037,0.053,0.326,1,0.445,0.323,0.201,0.131,0.054,0.008,0.015,0.026,0.02,0.017,0.017,0.025,0.018,0.017,0.01,0.007,0.006,0.005,0.005,0.008,0.013,0.04,0.209,0.136,0.105,0.116,0.043,0.029,0.015,0.117,0.114,0.097,0.066,0.044,0.027,0.024,0.012
"DTR_2023_ILT_01-Reference Group-DR_CD107a APC-R700 (Cells).1235681.fcs","APC-R700","CD107a","Cells","R4","PBMC_Activated_Unstained",0.001,0.002,0.002,0.002,0.003,0.006,0.012,0.008,0.008,0.003,0.009,0.02,0.045,0.038,0.023,0.015,0.001,0.002,0.002,0.002,0.003,0.003,0.004,0.004,0.003,0.003,0.021,0.051,0.126,0.075,0.048,0.02,0.005,0.005,0.007,0.004,0.003,0.003,0.007,0.009,0.027,0.035,0.023,0.014,0.01,0.01,0.001,0,0,0.036,0.053,0.161,0.491,0.169,0.106,0.054,0.077,0.172,0.652,1,0.716,0.377,0.346,0.156
"DTR_2023_ILT_01-Reference Group-DR_CD127 BV421 (Cells).1235682.fcs","BV421","CD127","Cells","V1","PBMC_Unstained",0.002,0.011,0.133,0.087,0.116,0.116,0.135,0.083,0.08,0.038,0.025,0.016,0.014,0.019,0.016,0.012,0.93,0.94,1,0.502,0.357,0.286,0.344,0.254,0.182,0.218,0.128,0.074,0.07,0.064,0.06,0.032,0.051,0.083,0.128,0.099,0.091,0.08,0.062,0.048,0.047,0.031,0.025,0.023,0.019,0.023,0.037,0.058,0.082,0.068,0.046,0.043,0.049,0.023,0.019,0.013,0.008,0.009,0.009,0.006,0.011,0.007,0.008,0.005
"DTR_2023_ILT_01-Reference Group-DR_CD16 APC (Cells).1235683.fcs","APC","CD16","Cells","R1","CBMC_Unstained",0,0.001,0.001,0.001,0.001,0.003,0.005,0.004,0.004,0.003,0.076,0.025,0.021,0.025,0.011,0.008,0.001,0.004,0.007,0.008,0.011,0.009,0.013,0.01,0.007,0.012,0.225,0.072,0.06,0.052,0.026,0.012,0.002,0.003,0.005,0.004,0.004,0.004,0.032,0.02,0.012,0.008,0.007,0.005,0.003,0.003,0.003,0.003,0.009,0.541,0.342,0.16,0.214,0.11,0.053,0.03,1,0.874,0.453,0.367,0.372,0.196,0.14,0.076
"DTR_2023_ILT_01-Reference Group-DR_CD161 BV480 (Cells).1235684.fcs","BV480","CD161","Cells","V5","PBMC_Unstained",0.001,0.004,0.004,0.006,0.02,0.134,0.269,0.142,0.087,0.028,0.011,0.006,0.004,0.005,0.004,0.003,0.007,0.048,0.286,0.942,1,0.8,0.76,0.364,0.212,0.2,0.076,0.035,0.027,0.021,0.017,0.008,0.075,0.067,0.067,0.039,0.034,0.029,0.021,0.015,0.016,0.009,0.007,0.006,0.005,0.006,0.013,0.022,0.035,0.028,0.019,0.016,0.019,0.008,0.007,0.004,0.003,0.004,0.004,0.003,0.003,0.003,0.003,0.002
"DTR_2023_ILT_01-Reference Group-DR_CD25 PE-Cy5 (Cells).1235685.fcs","PE-Cy5","CD25","Cells","YG5","PBMC_Activated_Unstained",0.013,0.009,0.013,0.012,0.017,0.024,0.03,0.022,0.027,0.014,0.048,0.033,0.021,0.026,0.015,0.015,0.012,0.028,0.047,0.052,0.049,0.043,0.06,0.036,0.024,0.033,0.155,0.108,0.072,0.058,0.028,0.018,0.001,0.011,0.023,0.038,0.03,0.021,0.545,0.657,0.511,0.254,0.198,0.143,0.086,0.085,0.048,0.032,0.024,0.819,1,0.652,0.605,0.294,0.164,0.08,0.18,0.323,0.253,0.151,0.125,0.081,0.059,0.031
"DTR_2023_ILT_01-Reference Group-DR_CD26 PerCP-Cy5.5 (Cells).1235686.fcs","PerCP-Cy5.5","CD26","Cells","B9","PBMC_Unstained",0.009,0.014,0.016,0.017,0.023,0.043,0.097,0.076,0.081,0.038,0.105,0.205,0.154,0.159,0.107,0.067,0.018,0.069,0.118,0.132,0.21,0.21,0.304,0.266,0.199,0.242,0.328,0.637,0.614,0.455,0.38,0.174,0.047,0.081,0.129,0.1,0.092,0.082,0.158,0.679,1,0.672,0.445,0.389,0.312,0.331,0.039,0.057,0.085,0.139,0.538,0.571,0.724,0.299,0.225,0.114,0.03,0.227,0.441,0.379,0.236,0.168,0.187,0.08
"DTR_2023_ILT_01-Reference Group-DR_CD27 APC-Fire 750 (Cells).1235687.fcs","APC-Fire 750","CD27","Cells","R7","PBMC_Unstained",0.001,0,0.002,0.002,0.003,0.004,0.008,0.008,0.01,0.008,0.015,0.008,0.007,0.019,0.06,0.065,0.005,0.017,0.029,0.034,0.047,0.046,0.067,0.058,0.044,0.056,0.055,0.029,0.029,0.049,0.165,0.123,0.011,0.021,0.034,0.026,0.024,0.021,0.023,0.017,0.016,0.011,0.01,0.016,0.03,0.044,0.011,0.016,0.023,0.061,0.04,0.029,0.04,0.063,0.245,0.244,0.095,0.084,0.051,0.051,0.085,0.312,1,0.719
"DTR_2023_ILT_01-Reference Group-DR_CD3 Alexa Fluor 647 (Cells).1235689.fcs","Alexa Fluor 647","CD3","Cells","R2","PBMC_Unstained",0,0.001,0.001,0.001,0.001,0.002,0.004,0.004,0.004,0.002,0.006,0.004,0.003,0.003,0.002,0.002,0.001,0.005,0.009,0.01,0.014,0.013,0.019,0.016,0.012,0.014,0.013,0.009,0.007,0.006,0.005,0.003,0.004,0.006,0.009,0.007,0.006,0.006,0.011,0.012,0.009,0.005,0.004,0.003,0.002,0.002,0.004,0.005,0.007,0.134,0.163,0.103,0.091,0.044,0.024,0.011,0.574,1,0.715,0.424,0.354,0.216,0.168,0.074
"DTR_2023_ILT_01-Reference Group-DR_CD3 FITC (Cells).1235690.fcs","FITC","CD3","Cells","B2","PBMC_Unstained",0,0.001,0.001,0.001,0.001,0.002,0.032,0.027,0.016,0.005,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.004,0.008,0.009,0.041,0.06,0.066,0.035,0.02,0.02,0.009,0.005,0.004,0.004,0.003,0.002,0.921,1,0.726,0.206,0.113,0.062,0.024,0.015,0.013,0.007,0.004,0.003,0.002,0.003,0.002,0.004,0.005,0.004,0.003,0.002,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0
"DTR_2023_ILT_01-Reference Group-DR_CD3 Spark Blue 550 (Cells).1235691.fcs","Spark Blue 550","CD3","Cells","B3","PBMC_Unstained",0.001,0.001,0.002,0.002,0.003,0.006,0.017,0.045,0.038,0.014,0.007,0.004,0.003,0.004,0.003,0.003,0.003,0.012,0.021,0.024,0.041,0.12,0.335,0.199,0.128,0.119,0.055,0.028,0.024,0.019,0.016,0.008,0.068,0.422,1,0.391,0.278,0.171,0.098,0.067,0.063,0.037,0.027,0.022,0.016,0.018,0.015,0.015,0.018,0.013,0.009,0.008,0.009,0.004,0.003,0.002,0.002,0.003,0.002,0.002,0.002,0.001,0.001,0.001
"DTR_2023_ILT_01-Reference Group-DR_CD38 APC-Fire 810 (Cells).1235692.fcs","APC-Fire 810","CD38","Cells","R8","CBMC_Unstained",0.001,0.001,0.002,0.002,0.003,0.006,0.014,0.011,0.011,0.006,0.035,0.018,0.016,0.018,0.028,0.095,0.002,0.009,0.017,0.02,0.031,0.029,0.041,0.033,0.024,0.032,0.106,0.049,0.048,0.04,0.076,0.191,0.008,0.011,0.018,0.015,0.014,0.013,0.026,0.018,0.016,0.011,0.009,0.008,0.012,0.048,0.009,0.012,0.021,0.215,0.147,0.101,0.14,0.068,0.101,0.296,0.424,0.404,0.325,0.266,0.227,0.168,0.432,1
"DTR_2023_ILT_01-Reference Group-DR_CD4 BUV805 (Cells).1235693.fcs","BUV805","CD4","Cells","UV16","PBMC_Unstained",0.017,0.073,0.061,0.052,0.051,0.056,0.044,0.02,0.017,0.009,0.005,0.003,0.003,0.028,0.418,1,0.004,0.011,0.017,0.018,0.024,0.022,0.031,0.025,0.019,0.023,0.013,0.008,0.007,0.009,0.051,0.08,0.005,0.01,0.015,0.012,0.012,0.01,0.007,0.006,0.005,0.004,0.003,0.004,0.013,0.037,0.005,0.008,0.011,0.009,0.006,0.006,0.006,0.004,0.015,0.031,0.001,0.001,0.001,0.001,0.003,0.013,0.11,0.163
"DTR_2023_ILT_01-Reference Group-DR_CD45RA BV510 (Cells).1235694.fcs","BV510","CD45RA","Cells","V7","CBMC_Unstained",0.001,0.001,0.001,0.003,0.014,0.072,0.401,0.345,0.284,0.103,0.04,0.02,0.014,0.014,0.009,0.006,0.003,0.03,0.119,0.266,0.708,0.73,1,0.667,0.423,0.406,0.16,0.072,0.053,0.038,0.028,0.012,0.005,0.006,0.008,0.006,0.005,0.005,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.003,0.004,0.006,0.005,0.003,0.003,0.003,0.001,0.001,0.001,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0
"DTR_2023_ILT_01-Reference Group-DR_CD56 BV605 (Cells).1235695.fcs","BV605","CD56","Cells","V10","CBMC_Unstained",0.002,0.006,0.009,0.009,0.012,0.018,0.033,0.024,0.107,0.209,0.114,0.052,0.04,0.039,0.023,0.016,0.058,0.08,0.099,0.076,0.08,0.066,0.084,0.229,0.793,1,0.538,0.218,0.174,0.123,0.084,0.039,0.015,0.02,0.03,0.031,0.062,0.061,0.045,0.031,0.026,0.016,0.011,0.008,0.006,0.007,0.082,0.352,0.393,0.261,0.166,0.115,0.135,0.056,0.037,0.021,0.013,0.014,0.012,0.01,0.009,0.005,0.005,0.003
"DTR_2023_ILT_01-Reference Group-DR_CD62L BUV395 (Cells).1235696.fcs","BUV395","CD62L","Cells","UV2","PBMC_Unstained",0.259,1,0.487,0.357,0.321,0.316,0.198,0.073,0.041,0.015,0.008,0.006,0.005,0.006,0.007,0.005,0.01,0.028,0.048,0.049,0.068,0.066,0.093,0.078,0.06,0.071,0.041,0.025,0.023,0.021,0.019,0.01,0.018,0.029,0.042,0.036,0.032,0.031,0.023,0.018,0.016,0.012,0.009,0.009,0.007,0.008,0.015,0.023,0.027,0.024,0.015,0.016,0.016,0.008,0.004,0.002,0.003,0.004,0.002,0,0.005,0.003,0.004,0.002
"DTR_2023_ILT_01-Reference Group-DR_CD69 BUV563 (Cells).1235697.fcs","BUV563","CD69","Cells","UV9","PBMC_Activated_Unstained",0.007,0.03,0.024,0.021,0.021,0.023,0.02,0.342,1,0.26,0.061,0.026,0.015,0.012,0.007,0.004,0,-0.002,-0.003,-0.004,-0.004,-0.001,0.025,0.069,0.033,0.031,0.008,0.003,0.002,0.001,0.001,0,0,0.008,0.107,0.201,0.108,0.07,0.024,0.015,0.012,0.006,0.003,0.003,0.002,0.002,0.436,0.212,0.126,0.039,0.022,0.017,0.014,0.004,0.003,0.001,-0.001,-0.001,-0.001,-0.001,0,0,0,0
"DTR_2023_ILT_01-Reference Group-DR_CD7 BV711 (Cells).1235698.fcs","BV711","CD7","Cells","V13","PBMC_Unstained",0,0.001,0.004,0.003,0.004,0.004,0.005,0.004,0.005,0.002,0.005,0.053,0.152,0.13,0.095,0.061,0.073,0.079,0.078,0.04,0.027,0.022,0.027,0.02,0.015,0.018,0.033,0.326,1,0.627,0.501,0.211,0.004,0.007,0.011,0.009,0.008,0.007,0.006,0.008,0.037,0.059,0.04,0.028,0.023,0.023,0.003,0.005,0.007,0.007,0.011,0.04,0.14,0.054,0.042,0.023,0.003,0.027,0.171,0.295,0.213,0.125,0.139,0.064
"DTR_2023_ILT_01-Reference Group-DR_CD8 BUV496 (Cells).1235699.fcs","BUV496","CD8","Cells","UV7","CBMC_Unstained",0.009,0.039,0.031,0.027,0.036,0.186,1,0.531,0.253,0.064,0.018,0.008,0.005,0.005,0.003,0.002,0.001,0.004,0.017,0.072,0.223,0.17,0.18,0.077,0.043,0.038,0.014,0.007,0.005,0.004,0.003,0.001,0.07,0.047,0.039,0.014,0.01,0.007,0.004,0.003,0.003,0.002,0.001,0.001,0.001,0.001,0.002,0.004,0.006,0.006,0.004,0.004,0.004,0.002,0.001,0.001,0.002,0.003,0.002,0.002,0.002,0.001,0.001,0.001
"DTR_2023_ILT_01-Reference Group-DR_CXCR3 BUV737 (Cells).1235700.fcs","BUV737","CXCR3","Cells","UV14","PBMC_Unstained",0.008,0.03,0.029,0.025,0.025,0.029,0.026,0.015,0.024,0.019,0.017,0.048,0.424,1,0.511,0.403,0.009,0.017,0.025,0.024,0.049,0.054,0.089,0.094,0.075,0.088,0.061,0.042,0.139,0.205,0.131,0.065,0.032,0.046,0.073,0.057,0.051,0.045,0.038,0.031,0.047,0.134,0.23,0.185,0.107,0.132,0.024,0.033,0.031,0.041,0.026,0.035,0.085,0.069,0.044,0.028,0.014,0.022,0.062,0.26,0.528,0.34,0.262,0.154
"DTR_2023_ILT_01-Reference Group-DR_Dump_CD14 Pacific Blue (Cells).1235701.fcs","Pacific Blue","Dump_CD14","Cells","V3","PBMC_Monocyte_Unstained",0.002,0.004,0.007,0.016,0.03,0.044,0.046,0.024,0.017,0.007,0.004,0.002,0.002,0.002,0.002,0.001,0.098,0.678,1,0.677,0.372,0.222,0.209,0.093,0.056,0.053,0.024,0.012,0.01,0.008,0.007,0.003,0.011,0.015,0.022,0.018,0.017,0.015,0.011,0.009,0.009,0.005,0.004,0.003,0.003,0.003,0.004,0.007,0.008,0.006,0.004,0.004,0.005,0.002,0.002,0.001,0,0,0.001,0.001,0.001,0.001,0.001,0
"DTR_2023_ILT_01-Reference Group-DR_IFNg BV750 (Cells).1235703.fcs","BV750","IFNg","Cells","V14","PBMC_Activated_Unstained",0.001,0.001,0.004,0.003,0.004,0.004,0.005,0.003,0.003,0.001,0.001,0.002,0.028,0.213,0.173,0.1,0.056,0.059,0.055,0.024,0.013,0.009,0.01,0.007,0.005,0.005,0.004,0.008,0.2,1,0.887,0.344,0.001,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.007,0.026,0.046,0.03,0.028,0,0,0,0,0,0,0.006,0.019,0.017,0.008,0,0,0.002,0.013,0.06,0.087,0.075,0.034
"DTR_2023_ILT_01-Reference Group-DR_NKG2D PE (Cells).1235704.fcs","PE","NKG2D","Cells","YG1","PBMC_Unstained",0.002,0.004,0.004,0.005,0.007,0.012,0.027,0.024,0.087,0.027,0.011,0.006,0.005,0.006,0.004,0.004,0.006,0.023,0.041,0.048,0.073,0.07,0.104,0.245,0.124,0.127,0.056,0.029,0.024,0.019,0.017,0.009,0.014,0.026,0.058,0.623,0.3,0.182,0.079,0.05,0.049,0.025,0.016,0.012,0.009,0.01,1,0.441,0.251,0.102,0.064,0.052,0.053,0.019,0.014,0.008,0.004,0.006,0.006,0.006,0.005,0.004,0.004,0.002
"DTR_2023_ILT_01-Reference Group-DR_PD1 PE-Vio770 (Cells).1235705.fcs","PE-Vio 770","PD1","Cells","YG9","CBMC_Unstained",0,0.001,0.002,0.001,0.002,0.003,0.007,0.006,0.01,0.006,0.005,0.003,0.003,0.015,0.048,0.039,0,0.001,0.005,0.006,0.009,0.008,0.014,0.022,0.014,0.016,0.012,0.007,0.007,0.032,0.135,0.073,0.01,0.01,0.016,0.053,0.031,0.021,0.012,0.009,0.009,0.009,0.034,0.215,0.554,0.589,0.084,0.042,0.028,0.019,0.015,0.013,0.029,0.208,1,0.707,0.007,0.008,0.006,0.006,0.009,0.023,0.062,0.034
"DTR_2023_ILT_01-Reference Group-DR_TNFa PE-Dazzle594 (Cells).1235706.fcs","PE-Dazzle 594","TNFa","Cells","YG3","PBMC_Activated_Unstained",0,0,0,0,0.001,0.001,0.002,0.002,0.014,0.046,0.016,0.009,0.005,0.004,0.003,0.001,0,0,0.001,0.001,0.001,0.001,0.002,0.024,0.067,0.187,0.054,0.028,0.015,0.01,0.007,0.002,0.002,0.001,0.005,0.095,0.258,0.614,0.239,0.186,0.162,0.067,0.039,0.032,0.021,0.017,0.192,0.412,1,0.385,0.299,0.224,0.185,0.069,0.047,0.02,0.001,0.001,0.001,0,0,0,0,0
"DTR_2023_ILT_01-Reference Group-DR_VD2 BUV661 (Cells).1235707.fcs","BUV661","VD2","Cells","UV11","PBMC_Unstained",0.006,0.025,0.021,0.019,0.019,0.024,0.027,0.016,0.015,0.051,1,0.47,0.358,0.298,0.16,0.097,0.003,0.012,0.023,0.025,0.034,0.03,0.039,0.029,0.022,0.041,0.297,0.135,0.105,0.068,0.043,0.018,0.005,0.008,0.012,0.01,0.01,0.01,0.049,0.035,0.029,0.017,0.012,0.008,0.006,0.006,0.005,0.009,0.026,0.484,0.339,0.23,0.266,0.097,0.057,0.028,0.774,0.797,0.598,0.423,0.301,0.165,0.137,0.062
"DTR_2023_ILT_01-Reference Group-DR_Viability Zombie NIR (Cells).1235708.fcs","Zombie NIR","Viability","Cells","R6","CBMC_Dead_Unstained",0.001,0.003,0.002,0.003,0.004,0.005,0.009,0.007,0.007,0.004,0.003,0.002,0.009,0.066,0.075,0.034,0.002,0.006,0.01,0.011,0.017,0.016,0.024,0.02,0.014,0.016,0.01,0.008,0.041,0.223,0.28,0.081,0.009,0.011,0.016,0.011,0.01,0.008,0.007,0.005,0.009,0.03,0.114,0.276,0.231,0.153,0.006,0.006,0.005,0.006,0.006,0.007,0.041,0.112,0.126,0.048,0.009,0.012,0.03,0.151,0.595,1,0.97,0.316
